UniProt	ID	name	length	gene	function
P35670	ATP7B_HUMAN	Copper-transporting ATPase 2	1465	ATP7B	Copper ion transmembrane transporter involved in the export of copper out of the cells. It is involved in copper homeostasis in the liver, where it ensures the efflux of copper from hepatocytes into the bile in response to copper overload
P46100	ATRX_HUMAN	Transcriptional regulator ATRX	2492	ATRX	Involved in transcriptional regulation and chromatin remodeling. Facilitates DNA replication in multiple cellular environments and is required for efficient replication of a subset of genomic loci. Binds to DNA tandem repeat sequences in both telomeres and euchromatin and in vitro binds DNA quadruplex structures. May help stabilizing G-rich regions into regular chromatin structures by remodeling G4 DNA and incorporating H3.3-containing nucleosomes. Catalytic component of the chromatin remodeling complex ATRX:DAXX which has ATP-dependent DNA translocase activity and catalyzes the replication-independent deposition of histone H3.3 in pericentric DNA repeats outside S-phase and telomeres, and the in vitro remodeling of H3.3-containing nucleosomes. Its heterochromatin targeting is proposed to involve a combinatorial readout of histone H3 modifications (specifically methylation states of H3K9 and H3K4) and association with CBX5. Involved in maintaining telomere structural integrity in embryonic stem cells which probably implies recruitment of CBX5 to telomeres. Reports on the involvement in transcriptional regulation of telomeric repeat-containing RNA (TERRA) are conflicting; according to a report, it is not sufficient to decrease chromatin condensation at telomeres nor to increase expression of telomeric RNA in fibroblasts. May be involved in telomere maintenance via recombination in ALT (alternative lengthening of telomeres) cell lines. Acts as a negative regulator of chromatin incorporation of transcriptionally repressive histone MACROH2A1, particularily at telomeres and the alpha-globin cluster in erythroleukemic cells. Participates in the allele-specific gene expression at the imprinted IGF2/H19 gene locus. On the maternal allele, required for the chromatin occupancy of SMC1 and CTCTF within the H19 imprinting control region (ICR) and involved in esatblishment of histone tails modifications in the ICR. May be involved in brain development and facial morphogenesis. Binds to zinc-finger coding genes with atypical chromatin signatures and regulates its H3K9me3 levels. Forms a complex with ZNF274, TRIM28 and SETDB1 to facilitate the deposition and maintenance of H3K9me3 at the 3' exons of zinc-finger genes
P16278	BGAL_HUMAN	Beta-galactosidase	677	GLB1	[Isoform 1]: Cleaves beta-linked terminal galactosyl residues from gangliosides, glycoproteins, and glycosaminoglycans. {ECO:0000269|PubMed:15714521, ECO:0000269|PubMed:19472408, ECO:0000269|PubMed:2511208, ECO:0000269|PubMed:25936995, ECO:0000269|PubMed:8200356}. [Isoform 2]: Has no beta-galactosidase catalytic activity, but plays functional roles in the formation of extracellular elastic fibers (elastogenesis) and in the development of connective tissue. Seems to be identical to the elastin-binding protein (EBP), a major component of the non-integrin cell surface receptor expressed on fibroblasts, smooth muscle cells, chondroblasts, leukocytes, and certain cancer cell types. In elastin producing cells, associates with tropoelastin intracellularly and functions as a recycling molecular chaperone which facilitates the secretions of tropoelastin and its assembly into elastic fibers
P42771	CDN2A_HUMAN	Cyclin-dependent kinase inhibitor 2A	156	CDKN2A	Acts as a negative regulator of the proliferation of normal cells by interacting strongly with CDK4 and CDK6. This inhibits their ability to interact with cyclins D and to phosphorylate the retinoblastoma protein
Q9P2D1	CHD7_HUMAN	Chromodomain-helicase-DNA-binding protein 7	2997	CHD7	Probable transcription regulator. Maybe involved in the in 45S precursor rRNA production
P35523	CLCN1_HUMAN	Chloride channel protein 1	988	CLCN1	Voltage-gated chloride channel. Plays an important role in membrane repolarization in skeletal muscle cells after muscle contraction. The CLC channel family contains both chloride channels and proton-coupled anion transporters that exchange chloride or another anion for protons (Probable). The absence of conserved gating glutamate residues is typical for family members that function as channels (Probable)
P23786	CPT2_HUMAN	Carnitine O-palmitoyltransferase 2, mitochondrial	658	CPT2	Involved in the intramitochondrial synthesis of acylcarnitines from accumulated acyl-CoA metabolites. Reconverts acylcarnitines back into the respective acyl-CoA esters that can then undergo beta-oxidation, an essential step for the mitochondrial uptake of long-chain fatty acids and their subsequent beta-oxidation in the mitochondrion. Active with medium (C8- C12) and long-chain (C14-C18) acyl-CoA esters
P12259	FA5_HUMAN	Coagulation factor V	2224	F5	Central regulator of hemostasis. It serves as a critical cofactor for the prothrombinase activity of factor Xa that results in the activation of prothrombin to thrombin
P00451	FA8_HUMAN	Coagulation factor VIII	2351	F8	Factor VIII, along with calcium and phospholipid, acts as a cofactor for F9/factor IXa when it converts F10/factor X to the activated form, factor Xa
P35555	FBN1_HUMAN	Fibrillin-1	2871	FBN1	[Fibrillin-1]: Structural component of the 10-12 nm diameter microfibrils of the extracellular matrix, which conveys both structural and regulatory properties to load-bearing connective tissues. Fibrillin-1-containing microfibrils provide long-term force bearing structural support. In tissues such as the lung, blood vessels and skin, microfibrils form the periphery of the elastic fiber, acting as a scaffold for the deposition of elastin. In addition, microfibrils can occur as elastin-independent networks in tissues such as the ciliary zonule, tendon, cornea and glomerulus where they provide tensile strength and have anchoring roles. Fibrillin-1 also plays a key role in tissue homeostasis through specific interactions with growth factors, such as the bone morphogenetic proteins (BMPs), growth and differentiation factors (GDFs) and latent transforming growth factor-beta-binding proteins (LTBPs), cell-surface integrins and other extracellular matrix protein and proteoglycan components. Regulates osteoblast maturation by controlling TGF- beta bioavailability and calibrating TGF-beta and BMP levels, respectively (By similarity). Negatively regulates osteoclastogenesis by binding and sequestering an osteoclast differentiation and activation factor TNFSF11. This leads to disruption of TNFSF11-induced Ca(2+) signaling and impairment of TNFSF11-mediated nuclear translocation and activation of transcription factor NFATC1 which regulates genes important for osteoclast differentiation and function. Mediates cell adhesion via its binding to cell surface receptors integrins ITGAV:ITGB3 and ITGA5:ITGB1. Binds heparin and this interaction has an important role in the assembly of microfibrils. {ECO:0000250|UniProtKB:Q61554, ECO:0000269|PubMed:11461921, ECO:0000269|PubMed:12807887, ECO:0000269|PubMed:15062093, ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:1860873, ECO:0000269|PubMed:24039232, ECO:0000303|PubMed:27026396}. [Asprosin]: Adipokine secreted by white adipose tissue that plays an important regulatory role in the glucose metabolism of liver, muscle and pancreas. Hormone that targets the liver in response to fasting to increase plasma glucose levels. Binds the olfactory receptor OR4M1 at the surface of hepatocytes and promotes hepatocyte glucose release by activating the protein kinase A activity in the liver, resulting in rapid glucose release into the circulation. May act as a regulator of adaptive thermogenesis by inhibiting browning and energy consumption, while increasing lipid deposition in white adipose tissue (By similarity). Also acts as an orexigenic hormone that increases appetite: crosses the blood brain barrier and exerts effects on the hypothalamus (By similarity). In the arcuate nucleus of the hypothalamus, asprosin directly activates orexigenic AgRP neurons and indirectly inhibits anorexigenic POMC neurons, resulting in appetite stimulation (By similarity). Activates orexigenic AgRP neurons via binding to the olfactory receptor OR4M1 (By similarity). May also play a role in sperm motility in testis via interaction with OR4M1 receptor (By similarity)
